出願番号,出願日,発明の名称,要約,請求の範囲,出願人,発明者,IPC,ステータス
特願2016-100644,2016/08/23,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術では充電時にデンドライトが成長し短絡に至るという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,汐留マテリアル,小林 恵;佐藤 亮,H01M4/134;H01M4/38,登録
特願2023-100776,2023/06/16,電極シート成形装置及びその製造方法,本発明は、電極シート成形装置に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,みなと化学工業,佐藤 望,H01M10/0585;H01M4/04,審査中
特願2019-100157,2019/10/09,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,蒼海自動車,井上 裕子;松本 直樹;清水 浩二,H01B1/06,登録
特願2020-100922,2020/04/12,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,みなと化学工業,林 浩二,H01M4/04,拒絶
特願2024-100900,2024/11/13,NCM系正極と固体電解質の複合体を用いた全固体電池,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,蒼海自動車,松本 隆;山口 健一,H01M4/525;H01M4/62,審査中
特願2023-100263,2023/06/05,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,蒼海自動車,山本 亮,C04B35/486;H01B1/08,登録
特願2017-100725,2017/08/10,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,燕岳鉱業,小林 花子,B32B37/00;H01M4/04,拒絶
特願2022-100959,2022/05/02,正極-電解質界面被覆層及びその製造方法,本発明は、正極-電解質界面被覆層に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,燕岳鉱業,小林 隆;中村 直樹,H01M10/0562;H01M4/525,公開
特願2022-100520,2022/07/09,NCM系正極と固体電解質の複合体及びその製造方法,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,白鳳電機産業,山本 誠;渡辺 望,H01M4/525,公開
特願2023-100705,2023/11/19,乾式電極成形プロセスを用いた全固体電池,本発明は、乾式電極成形プロセスに関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,常盤田精機,山本 拓也;加藤 恵;田中 拓也,H01M10/0585,公開
特願2017-100095,2017/09/14,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、硫化水素の発生量を大幅に抑制する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,みなと化学工業,山本 由美,C01B17/22;H01M10/0562,取下
特願2025-100430,2025/06/16,NCM系正極と固体電解質の複合体及びその製造方法,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,蒼海自動車,加藤 由美;中村 由美;森 裕子,H01M4/525;H01M4/62,公開
特願2015-100817,2015/03/23,拘束圧付与機構及びその製造方法,本発明は、拘束圧付与機構に関する。従来技術では端子部の接触抵抗が大きいという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,拘束圧付与機構を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,蒼海自動車,山田 太郎;田中 亮,H01M50/20,登録
特願2019-100150,2019/09/28,硫化物系固体電解質を用いた全固体電池,本発明は、硫化物系固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,蒼海自動車,山本 隆;森 亮,C01B17/22;H01B1/06,審査中
特願2022-100274,2022/01/10,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、粒界に非晶質層を導入することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,白鳳電機産業,山田 健一,C04B35/486;H01B1/08,審査中
特願2017-100064,2017/05/09,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,燕岳鉱業,鈴木 望;山本 直樹;高橋 修平,H01B1/06;H01M10/0562,取下
特願2020-100359,2020/03/03,リチウム塩含有ポリマー膜及びその製造方法,本発明は、リチウム塩含有ポリマー膜に関する。従来技術では室温でのイオン伝導度が低いという課題があった。本発明では、紫外線架橋により三次元網目構造を形成することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム塩含有ポリマー膜を備え、紫外線架橋により三次元網目構造を形成することを特徴とする全固体電池。,東雲重工業,鈴木 由美,C08J5/22;H01M10/0565,拒絶
特願2017-100327,2017/01/09,リチウム塩含有ポリマー膜を用いた全固体電池,本発明は、リチウム塩含有ポリマー膜に関する。従来技術では室温でのイオン伝導度が低いという課題があった。本発明では、ブロック共重合体で相分離構造を制御することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム塩含有ポリマー膜を備え、ブロック共重合体で相分離構造を制御することを特徴とする全固体電池。,汐留マテリアル,木村 誠;森 修平;清水 直樹,C08J5/22;H01M10/0565,取下
特願2024-100627,2024/04/24,無負極型集電体構造を用いた全固体電池,本発明は、無負極型集電体構造に関する。従来技術では負極と電解質の界面で副反応が進行するという課題があった。本発明では、固体電解質との界面に緩衝層を挿入することにより、エネルギー密度を大幅に向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、固体電解質との界面に緩衝層を挿入することを特徴とする全固体電池。,みなと化学工業,吉田 隆;山本 真一;高橋 香織,H01M10/052;H01M4/38,公開
特願2020-100465,2020/05/26,正極-電解質界面被覆層を用いた全固体電池,本発明は、正極-電解質界面被覆層に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,北斗モータース,伊藤 大輔;伊藤 修平;小林 直樹,H01M10/0562;H01M4/62,登録
特願2020-100199,2020/02/12,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、粒界に非晶質層を導入することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,ハンビット電池,田中 太郎;鈴木 由美,C04B35/486;H01B1/08,審査中
特願2021-100778,2021/10/01,全固体電池の積層体及びその製造方法,本発明は、全固体電池の積層体に関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,全固体電池の積層体を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,若草セラミックス,鈴木 香織;森 誠;中村 亮,H01M10/0585;H01M4/04,公開
特願2020-100519,2020/05/20,NCM系正極と固体電解質の複合体を用いた全固体電池,本発明は、NCM系正極と固体電解質の複合体に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NCM系正極と固体電解質の複合体を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,白鳳電機産業,山田 太郎,H01M10/0562;H01M4/62,拒絶
特願2020-100205,2020/02/04,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術では粒界抵抗がイオン伝導を阻害するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,常盤田精機,小林 健一,H01B1/08,拒絶
特願2016-100904,2016/04/17,有機無機ハイブリッド電解質膜及びその製造方法,本発明は、有機無機ハイブリッド電解質膜に関する。従来技術では機械的強度と柔軟性の両立が難しいという課題があった。本発明では、ブロック共重合体で相分離構造を制御することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,有機無機ハイブリッド電解質膜を備え、ブロック共重合体で相分離構造を制御することを特徴とする全固体電池。,瀬戸内硝子,森 裕子;加藤 直樹,H01B1/12;H01M10/0565,拒絶
特願2021-100453,2021/01/08,正極-電解質界面被覆層を用いた全固体電池,本発明は、正極-電解質界面被覆層に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,正極-電解質界面被覆層を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,高千穂金属,林 亮;山本 裕子,H01M10/0562;H01M4/62,登録
特願2018-100864,2018/11/25,バイポーラ型全固体電池を用いた全固体電池,本発明は、バイポーラ型全固体電池に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、バイポーラ集電体で直列接続を内蔵化することにより、温度分布を均一化し寿命を延ばす。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、バイポーラ集電体で直列接続を内蔵化することを特徴とする全固体電池。,常盤田精機,木村 修平;清水 真一,H01M50/20;H01M50/509,取下
特願2025-100612,2025/10/03,リチウム合金負極を用いた全固体電池,本発明は、リチウム合金負極に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、クーロン効率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,北斗モータース,木村 修平;高橋 彩;伊藤 美咲,H01M10/052;H01M4/134,審査中
特願2024-100711,2024/03/08,乾式電極成形プロセスを用いた全固体電池,本発明は、乾式電極成形プロセスに関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,みなと化学工業,山口 直樹;伊藤 花子;木村 隆,B32B37/00;H01M4/04,公開
特願2023-100211,2023/01/08,ペロブスカイト型酸化物電解質及びその製造方法,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、粒界に非晶質層を導入することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,みなと化学工業,高橋 拓也,C04B35/486,登録
特願2019-100875,2019/08/22,電池モジュール筐体及びその製造方法,本発明は、電池モジュール筐体に関する。従来技術ではセル拘束圧の維持と軽量化が両立しないという課題があった。本発明では、弾性部材を介した均一拘束構造とすることにより、体積エネルギー密度を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電池モジュール筐体を備え、弾性部材を介した均一拘束構造とすることを特徴とする全固体電池。,北斗モータース,森 恵,H01M50/20;H01M50/509,拒絶
特願2020-100007,2020/09/17,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、室温で高いリチウムイオン伝導度を実現する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,燕岳鉱業,佐藤 裕子;林 隆;林 誠,H01B1/06;H01M10/0562,審査中
特願2019-100756,2019/08/16,全固体電池の積層体を用いた全固体電池,本発明は、全固体電池の積層体に関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、乾式成膜により無溶媒で電極層を形成することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,全固体電池の積層体を備え、乾式成膜により無溶媒で電極層を形成することを特徴とする全固体電池。,常盤田精機,中村 望,H01M10/0585,登録
特願2025-100223,2025/02/19,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、テープ成形により薄膜シート化することにより、デンドライト耐性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、テープ成形により薄膜シート化することを特徴とする全固体電池。,みなと化学工業,林 直樹;伊藤 健一,C04B35/486;H01M10/0562,審査中
特願2016-100138,2016/06/21,硫化物系固体電解質を用いた全固体電池,本発明は、硫化物系固体電解質に関する。従来技術では電極との界面抵抗が増大するという課題があった。本発明では、ガラスセラミックス化の熱処理条件を最適化することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,硫化物系固体電解質を備え、ガラスセラミックス化の熱処理条件を最適化することを特徴とする全固体電池。,北斗モータース,中村 健一;木村 亮,C01B17/22;H01M10/0562,登録
特願2020-100136,2020/07/01,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術ではイオン伝導度が実用水準に届かないという課題があった。本発明では、ハロゲン元素を部分置換した組成とすることにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、ハロゲン元素を部分置換した組成とすることを特徴とする全固体電池。,燕岳鉱業,山田 美咲,H01B1/06;H01M10/0562,登録
特願2017-100394,2017/04/03,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、活物質表面に酸化物ナノ被覆層を形成することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、活物質表面に酸化物ナノ被覆層を形成することを特徴とする全固体電池。,瀬戸内硝子,山田 大輔;佐藤 由美,H01M10/0562;H01M4/525,登録
特願2024-100898,2024/12/12,NASICON型リン酸系酸化物及びその製造方法,本発明は、NASICON型リン酸系酸化物に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、粒界に非晶質層を導入することにより、薄膜大面積化を容易にする。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,九曜電子,田中 太郎,H01B1/08,公開
特願2015-100275,2015/06/24,酸化物系固体電解質焼結体及びその製造方法,本発明は、酸化物系固体電解質焼結体に関する。従来技術では焼結温度が高くエネルギーコストが大きいという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、低温プロセスでの量産性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,酸化物系固体電解質焼結体を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,汐留マテリアル,井上 隆;佐藤 恵;森 大輔,C04B35/486;H01B1/08,拒絶
特願2018-100671,2018/10/06,全固体電池の積層体及びその製造方法,本発明は、全固体電池の積層体に関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,全固体電池の積層体を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,蒼海自動車,高橋 隆,B32B37/00;H01M10/0585,拒絶
特願2024-100758,2024/12/02,乾式電極成形プロセス及びその製造方法,本発明は、乾式電極成形プロセスに関する。従来技術では積層時に層間に空隙が残り抵抗が増えるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、製造コストを削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,乾式電極成形プロセスを備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,東雲重工業,吉田 花子,B32B37/00;H01M4/04,審査中
特願2017-100299,2017/01/18,ペロブスカイト型酸化物電解質及びその製造方法,本発明は、ペロブスカイト型酸化物電解質に関する。従来技術ではリチウムデンドライトが粒界を伝播するという課題があった。本発明では、粒界に非晶質層を導入することにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ペロブスカイト型酸化物電解質を備え、粒界に非晶質層を導入することを特徴とする全固体電池。,常盤田精機,加藤 直樹;小林 恵,C04B35/486;H01M10/0562,登録
特願2023-100446,2023/01/10,ニオブ酸リチウム被覆正極活物質及びその製造方法,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では正極活物質と硫化物電解質の界面で高抵抗層が形成されるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、界面抵抗を低減し出力特性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,みなと化学工業,吉田 隆;佐藤 太郎;伊藤 浩二,H01M10/0562,登録
特願2017-100218,2017/09/27,ガーネット型LLZO酸化物及びその製造方法,本発明は、ガーネット型LLZO酸化物に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、焼結助剤を添加して低温焼結を可能にすることにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ガーネット型LLZO酸化物を備え、焼結助剤を添加して低温焼結を可能にすることを特徴とする全固体電池。,みなと化学工業,高橋 真一;山口 誠;森 美咲,C04B35/486,登録
特願2023-100652,2023/08/15,加圧焼結積層工程及びその製造方法,本発明は、加圧焼結積層工程に関する。従来技術では溶媒系プロセスが電解質を劣化させるという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,加圧焼結積層工程を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,白鳳電機産業,井上 健一,B32B37/00;H01M10/0585,審査中
特願2021-100033,2021/06/14,Li6PS5Cl固体電解質を用いた全固体電池,本発明は、Li6PS5Cl固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、微粒子化と加圧成形条件を制御することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、微粒子化と加圧成形条件を制御することを特徴とする全固体電池。,蒼海自動車,山田 浩二;佐藤 恵,H01B1/06,登録
特願2023-100752,2023/11/07,電極シート成形装置及びその製造方法,本発明は、電極シート成形装置に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、ロールプレスの線圧条件を段階制御することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、ロールプレスの線圧条件を段階制御することを特徴とする全固体電池。,若草セラミックス,加藤 裕子,H01M10/0585;H01M4/04,公開
特願2018-100004,2018/04/24,アルジロダイト型硫化物及びその製造方法,本発明は、アルジロダイト型硫化物に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,アルジロダイト型硫化物を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,汐留マテリアル,小林 健一;佐藤 浩二;森 亮,H01B1/06;H01M10/0562,拒絶
特願2018-100863,2018/04/13,バイポーラ型全固体電池及びその製造方法,本発明は、バイポーラ型全固体電池に関する。従来技術では直列積層時の熱分布が不均一になるという課題があった。本発明では、冷却流路をモジュール内に一体成形することにより、部品点数を削減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,バイポーラ型全固体電池を備え、冷却流路をモジュール内に一体成形することを特徴とする全固体電池。,菫マテリアルズ,吉田 拓也;鈴木 誠,H01M50/509,登録
特願2020-100477,2020/09/27,複合正極合材を用いた全固体電池,本発明は、複合正極合材に関する。従来技術では複合正極内のイオン伝導経路が不連続になるという課題があった。本発明では、導電助剤と電解質の配合比を最適化することにより、サイクル後の容量維持率を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,複合正極合材を備え、導電助剤と電解質の配合比を最適化することを特徴とする全固体電池。,遠州電池,清水 静香,H01M10/0562;H01M4/525,公開
特願2015-100133,2015/02/09,Li6PS5Cl固体電解質及びその製造方法,本発明は、Li6PS5Cl固体電解質に関する。従来技術では大気中の水分と反応して硫化水素が発生するという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li6PS5Cl固体電解質を備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,東都工業大学,清水 静香;吉田 直樹;清水 望,H01M10/0562,登録
特願2020-100501,2020/03/01,ニオブ酸リチウム被覆正極活物質を用いた全固体電池,本発明は、ニオブ酸リチウム被覆正極活物質に関する。従来技術では充放電に伴う体積変化で界面が剥離するという課題があった。本発明では、スラリー混練条件を制御し均一分散させることにより、電極内の利用率を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,ニオブ酸リチウム被覆正極活物質を備え、スラリー混練条件を制御し均一分散させることを特徴とする全固体電池。,白鳳電機産業,山本 誠;山口 隆,H01M4/525,登録
特願2020-100908,2020/03/08,リチウム合金負極及びその製造方法,本発明は、リチウム合金負極に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、集電体表面に親リチウム性シード層を設けることにより、粒界抵抗を低減し伝導度を向上する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,リチウム合金負極を備え、集電体表面に親リチウム性シード層を設けることを特徴とする全固体電池。,常盤田精機,伊藤 大輔;加藤 美咲,H01M10/052;H01M4/134,登録
特願2021-100574,2021/05/09,無負極型集電体構造及びその製造方法,本発明は、無負極型集電体構造に関する。従来技術ではリチウムの不均一析出で容量が劣化するという課題があった。本発明では、析出溶解を均一化する拘束圧構造を採用することにより、デンドライト発生を抑制し安全性を高める。これにより全固体リチウムイオン二次電池の実用化に寄与する。,無負極型集電体構造を備え、析出溶解を均一化する拘束圧構造を採用することを特徴とする全固体電池。,東雲重工業,清水 修平;小林 花子;伊藤 亮,H01M4/134;H01M4/38,取下
特願2020-100076,2020/10/17,Li2S-P2S5系ガラスセラミックス及びその製造方法,本発明は、Li2S-P2S5系ガラスセラミックスに関する。従来技術では粒界での抵抗が大きいという課題があった。本発明では、表面を酸化物系保護層で被覆することにより、充放電サイクル特性を改善する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,Li2S-P2S5系ガラスセラミックスを備え、表面を酸化物系保護層で被覆することを特徴とする全固体電池。,白鳳電機産業,伊藤 静香,H01B1/06,登録
特願2024-100957,2024/08/21,NASICON型リン酸系酸化物を用いた全固体電池,本発明は、NASICON型リン酸系酸化物に関する。従来技術では薄膜化すると機械的強度が不足するという課題があった。本発明では、ドーパント元素で結晶構造を安定化することにより、層間密着性を高め内部抵抗を低減する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,NASICON型リン酸系酸化物を備え、ドーパント元素で結晶構造を安定化することを特徴とする全固体電池。,九曜電子,山田 拓也,H01B1/08;H01M10/0562,審査中
特願2024-100714,2024/08/16,電極シート成形装置を用いた全固体電池,本発明は、電極シート成形装置に関する。従来技術では大面積化すると均一な加圧が難しいという課題があった。本発明では、等方加圧により積層界面を密着させることにより、量産タクトを短縮する。これにより全固体リチウムイオン二次電池の実用化に寄与する。,電極シート成形装置を備え、等方加圧により積層界面を密着させることを特徴とする全固体電池。,蒼海自動車,山口 直樹;清水 静香,B32B37/00;H01M10/0585,審査中
